[03:12:27] [main/INFO]: Loading Minecraft 1.20.1 with Fabric Loader 0.16.3
[03:12:27] [main/INFO]: Loading 4 mods:
	- fabricloader 0.16.3
	   \-- mixinextras 0.4.1
	- java 17
	- minecraft 1.20.1
[03:12:27] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.7 Source=file:/workspaces/bookish-octo-happiness/servidor_minecraft/libraries/net/fabricmc/sponge-mixin/0.15.2+mixin.0.8.7/sponge-mixin-0.15.2+mixin.0.8.7.jar Service=Knot/Fabric Env=SERVER
[03:12:35] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[03:12:37] [main/INFO]: Loaded 7 recipes
[03:12:38] [main/INFO]: Loaded 1271 advancements
[03:12:38] [Server thread/INFO]: Starting minecraft server version 1.20.1
[03:12:38] [Server thread/INFO]: Loading properties
[03:12:38] [Server thread/INFO]: Default game type: SURVIVAL
[03:12:38] [Server thread/INFO]: Generating keypair
[03:12:39] [Server thread/INFO]: Starting Minecraft server on *:25565
[03:12:39] [Server thread/INFO]: Using epoll channel type
[03:12:39] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[03:12:39] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[03:12:39] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[03:12:39] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[03:12:39] [Server thread/INFO]: Preparing level "world"
[03:12:50] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[03:12:51] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:12:51] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:12:51] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:12:52] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:12:52] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:12:53] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:12:53] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:12:54] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:12:54] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:12:55] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:12:55] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:12:56] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:12:56] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:12:57] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:12:57] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:12:58] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:12:58] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:12:59] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:12:59] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:13:00] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:13:00] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:13:01] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:13:01] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:13:02] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:13:02] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:13:03] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:13:03] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:13:04] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:13:04] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:13:05] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:13:05] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:13:06] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:13:06] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:13:07] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:13:07] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:13:08] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:13:08] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:13:09] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:13:09] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:13:10] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:13:10] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:13:11] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:13:11] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:13:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:13:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:13:13] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:13:13] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:13:14] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:13:14] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:13:15] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:13:15] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:13:16] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:13:16] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:13:17] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:13:17] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:13:18] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:13:18] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:13:19] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:13:19] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:13:20] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:13:20] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:13:21] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:13:21] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:13:22] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:13:22] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:13:23] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:13:23] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:13:24] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:13:24] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:13:25] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:13:25] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:13:26] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:13:26] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:13:27] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:13:27] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:13:28] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:13:28] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:13:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:13:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:13:30] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:13:30] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:13:31] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:13:31] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:13:32] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:13:32] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:13:34] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:13:34] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:13:34] [Worker-Main-1/INFO]: Preparing spawn area: 1%
[03:13:35] [Server thread/INFO]: Time elapsed: 45204 ms
[03:13:35] [Server thread/INFO]: Done (56.577s)! For help, type "help"
